知识点ID,场景一级,场景二级,类型,内容,英文,难度,分类标签,创建时间
KB00587,学习,学术研究,单词,连贯性,coherence,advanced,"学习,学术研究,单词",2026-01-25
KB00588,学习,学术研究,单词,连贯的,coherent,advanced,"学习,学术研究,单词",2026-01-25
KB00589,学习,学术研究,单词,逻辑的,logical,advanced,"学习,学术研究,单词",2026-01-25
KB00590,学习,学术研究,单词,逻辑,logic,advanced,"学习,学术研究,单词",2026-01-25
KB00591,社交,日常社交,词组,你好吗,how are you,beginner,"社交,日常社交,词组",2026-01-25
KB00592,社交,日常社交,词组,很高兴见到你,nice to meet you,beginner,"社交,日常社交,词组",2026-01-25
KB00593,社交,日常社交,词组,你叫什么名字,what's your name,beginner,"社交,日常社交,词组",2026-01-25
KB00594,社交,日常社交,词组,我很好,I'm fine,beginner,"社交,日常社交,词组",2026-01-25
KB00595,社交,日常社交,词组,非常感谢,thank you very much,beginner,"社交,日常社交,词组",2026-01-25
KB00596,社交,日常社交,词组,不客气,you're welcome,beginner,"社交,日常社交,词组",2026-01-25
KB00597,社交,日常社交,词组,打扰一下,excuse me,beginner,"社交,日常社交,词组",2026-01-25
KB00598,社交,日常社交,词组,对不起,I'm sorry,beginner,"社交,日常社交,词组",2026-01-25
KB00599,社交,日常社交,词组,没关系,that's okay,beginner,"社交,日常社交,词组",2026-01-25
KB00600,社交,日常社交,词组,稍后见,see you later,beginner,"社交,日常社交,词组",2026-01-25
KB00601,社交,日常社交,词组,早上好,good morning,beginner,"社交,日常社交,词组",2026-01-25
KB00602,社交,日常社交,词组,下午好,good afternoon,beginner,"社交,日常社交,词组",2026-01-25
KB00603,社交,日常社交,词组,晚上好,good evening,beginner,"社交,日常社交,词组",2026-01-25
KB00604,社交,日常社交,词组,晚安,good night,beginner,"社交,日常社交,词组",2026-01-25
KB00605,社交,日常社交,词组,祝你有美好的一天,have a nice day,beginner,"社交,日常社交,词组",2026-01-25
KB00606,社交,日常社交,词组,怎么样,how's it going,elementary,"社交,日常社交,词组",2026-01-25
KB00607,社交,日常社交,词组,怎么了,what's up,elementary,"社交,日常社交,词组",2026-01-25
KB00608,社交,日常社交,词组,好久不见,long time no see,elementary,"社交,日常社交,词组",2026-01-25
KB00609,旅行,交通出行,词组,保重,take care,elementary,"旅行,交通出行,词组",2026-01-25
KB00610,社交,日常社交,词组,玩得开心,have a good time,elementary,"社交,日常社交,词组",2026-01-25
KB00611,社交,日常社交,词组,祝你好运,good luck,elementary,"社交,日常社交,词组",2026-01-25
KB00612,社交,朋友聚会,词组,恭喜,congratulations,elementary,"社交,朋友聚会,词组",2026-01-25
KB00613,社交,日常社交,词组,做得好,well done,elementary,"社交,日常社交,词组",2026-01-25
KB00614,生活,饮食烹饪,词组,太好了,that's great,elementary,"生活,饮食烹饪,词组",2026-01-25
KB00615,社交,日常社交,词组,我也这么认为,I think so,elementary,"社交,日常社交,词组",2026-01-25
KB00616,社交,日常社交,词组,我不这么认为,I don't think so,elementary,"社交,日常社交,词组",2026-01-25
KB00617,社交,日常社交,词组,对的,that's right,elementary,"社交,日常社交,词组",2026-01-25
KB00618,社交,日常社交,词组,错的,that's wrong,elementary,"社交,日常社交,词组",2026-01-25
KB00619,社交,日常社交,词组,我同意,I agree,elementary,"社交,日常社交,词组",2026-01-25
KB00620,社交,日常社交,词组,我不同意,I disagree,elementary,"社交,日常社交,词组",2026-01-25
KB00621,工作,商务会议,词组,在我看来,in my opinion,intermediate,"工作,商务会议,词组",2026-01-25
KB00622,工作,商务会议,词组,我相信,I believe that,intermediate,"工作,商务会议,词组",2026-01-25
KB00623,工作,商务会议,词组,在我看来,it seems to me,intermediate,"工作,商务会议,词组",2026-01-25
KB00624,旅行,景点游览,词组,从我的角度来看,from my point of view,intermediate,"旅行,景点游览,词组",2026-01-25
KB00625,工作,商务会议,词组,就我而言,as far as I'm concerned,intermediate,"工作,商务会议,词组",2026-01-25
KB00626,工作,商务会议,词组,一方面,on the one hand,intermediate,"工作,商务会议,词组",2026-01-25
KB00627,工作,商务会议,词组,另一方面,on the other hand,intermediate,"工作,商务会议,词组",2026-01-25
KB00628,工作,商务会议,词组,此外,in addition,intermediate,"工作,商务会议,词组",2026-01-25
KB00629,工作,商务会议,词组,此外,furthermore,intermediate,"工作,商务会议,词组",2026-01-25
KB00630,工作,商务会议,词组,而且,moreover,intermediate,"工作,商务会议,词组",2026-01-25
KB00631,工作,商务会议,词组,结果,as a result,intermediate,"工作,商务会议,词组",2026-01-25
KB00632,工作,商务会议,词组,因此,therefore,intermediate,"工作,商务会议,词组",2026-01-25
KB00633,工作,商务会议,词组,因此,consequently,intermediate,"工作,商务会议,词组",2026-01-25
KB00634,工作,商务会议,词组,然而,however,intermediate,"工作,商务会议,词组",2026-01-25
KB00635,工作,商务会议,词组,尽管如此,nevertheless,intermediate,"工作,商务会议,词组",2026-01-25
KB00636,学习,学术研究,词组,不用说,it goes without saying,upper_intermediate,"学习,学术研究,词组",2026-01-25
KB00637,学习,学术研究,词组,不用说,needless to say,upper_intermediate,"学习,学术研究,词组",2026-01-25
KB00638,学习,学术研究,词组,简单来说,to put it simply,upper_intermediate,"学习,学术研究,词组",2026-01-25
KB00639,学习,学术研究,词组,换句话说,in other words,upper_intermediate,"学习,学术研究,词组",2026-01-25
KB00640,学习,学术研究,词组,总结,to sum up,upper_intermediate,"学习,学术研究,词组",2026-01-25
KB00641,社交,日常社交,词组,综合考虑,all things considered,upper_intermediate,"社交,日常社交,词组",2026-01-25
KB00642,社交,日常社交,词组,考虑到一切,taking everything into account,upper_intermediate,"社交,日常社交,词组",2026-01-25
KB00643,学习,学术研究,词组,值得注意的是,it is worth noting,upper_intermediate,"学习,学术研究,词组",2026-01-25
KB00644,学习,学术研究,词组,应该强调的是,it should be emphasized,upper_intermediate,"学习,学术研究,词组",2026-01-25
KB00645,学习,学术研究,词组,重要的是要提到,it is important to mention,upper_intermediate,"学习,学术研究,词组",2026-01-25
KB00646,学习,学术研究,词组,必须,it is imperative that,advanced,"学习,学术研究,词组",2026-01-25
KB00647,学习,学术研究,词组,关键是,it is crucial to,advanced,"学习,学术研究,词组",2026-01-25
KB00648,学习,学术研究,词组,必须,it is essential that,advanced,"学习,学术研究,词组",2026-01-25
KB00649,学习,学术研究,词组,不能过分强调,it cannot be overstated,advanced,"学习,学术研究,词组",2026-01-25
KB00650,学习,学术研究,词组,值得强调,it bears emphasizing,advanced,"学习,学术研究,词组",2026-01-25
KB00651,学习,学术研究,词组,深入探讨,to delve deeper into,advanced,"学习,学术研究,词组",2026-01-25
KB00652,学习,学术研究,词组,阐明,to shed light on,advanced,"学习,学术研究,词组",2026-01-25
KB00653,学习,学术研究,词组,突出,to bring to the fore,advanced,"学习,学术研究,词组",2026-01-25
KB00654,学习,学术研究,词组,强调重要性,to underscore the significance,advanced,"学习,学术研究,词组",2026-01-25
KB00655,社交,日常社交,词组,强调重要性,to highlight the importance,advanced,"社交,日常社交,词组",2026-01-25
KB00656,学习,学校课程,语法,我是...,I am...,beginner,"学习,学校课程,语法",2026-01-25
KB00657,学习,学校课程,语法,你是...,You are...,beginner,"学习,学校课程,语法",2026-01-25
KB00658,学习,学校课程,语法,他/她是...,He/She is...,beginner,"学习,学校课程,语法",2026-01-25
KB00659,娱乐,兴趣爱好,语法,我喜欢...,I like...,beginner,"娱乐,兴趣爱好,语法",2026-01-25
KB00660,娱乐,兴趣爱好,语法,我不喜欢...,I don't like...,beginner,"娱乐,兴趣爱好,语法",2026-01-25
KB00661,学习,学校课程,语法,你能...吗？,Can you...?,beginner,"学习,学校课程,语法",2026-01-25
KB00662,学习,学校课程,语法,你...吗？,Do you...?,beginner,"学习,学校课程,语法",2026-01-25
KB00663,学习,学校课程,语法,什么是...？,What is...?,beginner,"学习,学校课程,语法",2026-01-25
KB00664,学习,学校课程,语法,哪里是...？,Where is...?,beginner,"学习,学校课程,语法",2026-01-25
KB00665,学习,学校课程,语法,...怎么样？,How are...?,beginner,"学习,学校课程,语法",2026-01-25
KB00666,学习,学校课程,语法,我过去是...,I was...,elementary,"学习,学校课程,语法",2026-01-25
KB00667,学习,学校课程,语法,我将...,I will...,elementary,"学习,学校课程,语法",2026-01-25
KB00668,学习,学校课程,语法,我打算...,I'm going to...,elementary,"学习,学校课程,语法",2026-01-25
KB00669,学习,学校课程,语法,我有...,I have...,elementary,"学习,学校课程,语法",2026-01-25
KB00670,学习,学校课程,语法,我能...,I can...,elementary,"学习,学校课程,语法",2026-01-25
KB00671,学习,学校课程,语法,我应该...,I should...,elementary,"学习,学校课程,语法",2026-01-25
KB00672,学习,学校课程,语法,我想要...,I want to...,elementary,"学习,学校课程,语法",2026-01-25
KB00673,学习,学校课程,语法,我需要...,I need to...,elementary,"学习,学校课程,语法",2026-01-25
KB00674,娱乐,兴趣爱好,语法,我喜欢...,I like to...,elementary,"娱乐,兴趣爱好,语法",2026-01-25
KB00675,娱乐,兴趣爱好,语法,我更喜欢...,I prefer to...,elementary,"娱乐,兴趣爱好,语法",2026-01-25
KB00676,工作,商务会议,语法,我一直在...,I have been...,intermediate,"工作,商务会议,语法",2026-01-25
KB00677,工作,商务会议,语法,我过去有...,I had...,intermediate,"工作,商务会议,语法",2026-01-25
KB00678,工作,商务会议,语法,我会...,I would...,intermediate,"工作,商务会议,语法",2026-01-25
KB00679,工作,商务会议,语法,如果我是...,If I were...,intermediate,"工作,商务会议,语法",2026-01-25
KB00680,工作,商务会议,语法,我希望我能...,I wish I could...,intermediate,"工作,商务会议,语法",2026-01-25
KB00681,工作,商务会议,语法,重要的是...,It is important to...,intermediate,"工作,商务会议,语法",2026-01-25
KB00682,工作,商务会议,语法,似乎...,It seems that...,intermediate,"工作,商务会议,语法",2026-01-25
KB00683,社交,日常社交,语法,我认为...,I think that...,intermediate,"社交,日常社交,语法",2026-01-25
KB00684,工作,商务会议,语法,我相信...,I believe that...,intermediate,"工作,商务会议,语法",2026-01-25
KB00685,工作,商务会议,语法,在我看来...,In my opinion...,intermediate,"工作,商务会议,语法",2026-01-25
KB00686,学习,学术研究,语法,话虽如此...,Having said that...,upper_intermediate,"学习,学术研究,语法",2026-01-25
KB00687,学习,学术研究,语法,值得注意的是...,It is worth noting that...,upper_intermediate,"学习,学术研究,语法",2026-01-25
KB00688,学习,学术研究,语法,让我印象深刻的是...,What strikes me is...,upper_intermediate,"学习,学术研究,语法",2026-01-25
KB00689,学习,学术研究,语法,很明显...,It is evident that...,upper_intermediate,"学习,学术研究,语法",2026-01-25
KB00690,学习,学术研究,语法,不能否认...,One cannot deny that...,upper_intermediate,"学习,学术研究,语法",2026-01-25
KB00691,学习,学术研究,语法,不仅...而且...,Not only... but also...,upper_intermediate,"学习,学术研究,语法",2026-01-25
KB00692,学习,学术研究,语法,既不...也不...,Neither... nor...,upper_intermediate,"学习,学术研究,语法",2026-01-25
KB00693,学习,学术研究,语法,无论...还是...,Whether... or...,upper_intermediate,"学习,学术研究,语法",2026-01-25
KB00694,学习,学术研究,语法,尽管...,Despite the fact that...,upper_intermediate,"学习,学术研究,语法",2026-01-25
KB00695,学习,学术研究,语法,尽管...,In spite of...,upper_intermediate,"学习,学术研究,语法",2026-01-25
KB00696,学习,学术研究,语法,必须...,It is imperative that...,advanced,"学习,学术研究,语法",2026-01-25
KB00697,学习,学术研究,语法,如果不是...,Were it not for...,advanced,"学习,学术研究,语法",2026-01-25
KB00698,学习,学术研究,语法,如果不是...,Had it not been for...,advanced,"学习,学术研究,语法",2026-01-25
KB00699,学习,学术研究,语法,尽管...,Notwithstanding the fact that...,advanced,"学习,学术研究,语法",2026-01-25
KB00700,学习,学术研究,语法,由于...,Inasmuch as...,advanced,"学习,学术研究,语法",2026-01-25
KB00701,学习,学术研究,语法,到什么程度...,To what extent...,advanced,"学习,学术研究,语法",2026-01-25
KB00702,学习,学术研究,语法,到...的程度,To the extent that...,advanced,"学习,学术研究,语法",2026-01-25
KB00703,学习,学术研究,语法,就...而言,Insofar as...,advanced,"学习,学术研究,语法",2026-01-25
KB00704,学习,学术研究,语法,尽管...,Albeit...,advanced,"学习,学术研究,语法",2026-01-25
KB00705,学习,学术研究,语法,尽管...,Albeit the fact that...,advanced,"学习,学术研究,语法",2026-01-25
